id,genre,track_name,artist_name,valence,energy,mood_vec,distances
3qQIq27L2KkSMH99rrNl2N,jazz,,,0.19,0.119,"[0.19, 0.119]",0.503795593470209
11cHTwgw5L3qrNcv5Ugv0O,jazz,Boogie Stop Shuffle,Charles Mingus,0.679,0.541,"[0.679, 0.541]",0.1553222456700907
0Otf1ZfYNIjhqFIuJk0fsy,jazz,Tea for Two,Art Tatum,0.525,0.452,"[0.525, 0.452]",0.03687817782917153
0WMG5EgKUdK73cLMEPoRMX,jazz,Song For Bilbao,Michael Brecker,0.734,0.593,"[0.734, 0.593]",0.22677301426757104
5Jafpcu72SIeaOVk4Gboa2,jazz,Requiem,Lennie Tristano,0.223,0.439,"[0.223, 0.439]",0.3138486896579306
1m3BAsNsQAaSNMD2M6vlKY,jazz,Breezin',George Benson,0.964,0.752,"[0.964, 0.752]",0.5054275417901165
3GVIEj2t58dZE0y44azO5j,jazz,How's Never?,Dave Holland Octet,0.397,0.622,"[0.397, 0.622]",0.1909240686765291
58r6xU8haUwkpbTiDyMqXI,jazz,Nice Ending Folks!,Peter Kowald,0.36,0.179,"[0.36, 0.179]",0.35413274347340434
1MNCAshf6foG8fDFDR9Jdy,jazz,Monicas vals,Monica Zetterlund,0.327,0.125,"[0.327, 0.125]",0.4173787249010184
0rN5I9uWxtJqlND6tzqOxJ,jazz,Laughing Club,Henry Threadgill,0.365,0.552,"[0.365, 0.552]",0.17977764043395392
4DjTp1Cktd3OdvmNrCkTOi,jazz,The Sicilian Clan,John Zorn,0.384,0.315,"[0.384, 0.315]",0.22831995094603538
2N11CsNEQfKdp2EAuGdYri,jazz,Bolivia,Various Artists,0.593,0.477,"[0.593, 0.477]",0.06099999999999994
1zC7E7fjZ7lUgB72ZzukY4,k-pop,Let's Go Party,2NE1,0.0,0.0,"[0.0, 0.0]",0.7226569033780831
4P6121AyLHyUzsdXwtY2wo,k-pop,The Senior (老將) (Inst.),BILL STAX,0.18,0.467,"[0.18, 0.467]",0.3536240942017385
2vZE8e6ZwMrmrzQgb5ICV6,k-pop,제이니 (Janie),lady Jane,0.784,0.781,"[0.784, 0.781]",0.3858108344772086
2M1zZ3ZapXR4GGKPrVdcSZ,k-pop,You Are My Healer,Steve Lamount Harrold,0.0693,0.367,"[0.0693, 0.367]",0.47922717994704767
5cAYn6nAnW78bGhGpyw0xw,k-pop,티켓두장 주세요(Inst.),Hwaii,0.456,0.53,"[0.456, 0.53]",0.0877097486029917
5xZL3Hf4wrGy2873KKSiFN,k-pop,그대가...,에반,0.364,0.0553,"[0.364, 0.0553]",0.46453233471955424
5JdsrzAz2oSOx2gBiQpT3g,k-pop,Don't Cry,J-Dogg,0.804,0.743,"[0.804, 0.743]",0.3721101987315048
0rEwQqMKqbsA9deRl6ywnZ,k-pop,잘자요 그대 (MR),Lena Park,0.0731,0.408,"[0.0731, 0.408]",0.466806180336122
5o6Km3le0JH10bSXbgVona,k-pop,바로크 따라하기,JOYjin(조이진),0.641,0.169,"[0.641, 0.169]",0.33678628238097813
7hkIuoyuygGMnCMrPPGRJm,k-pop,Somebody,Pudditorium,0.353,0.326,"[0.353, 0.326]",0.24216523284732683
6jKs7SjJlyINz4goUQekZT,k-pop,Don’t say no,YOON GUN,0.201,0.421,"[0.201, 0.421]",0.33869307639808643
3B6L5LPII5By5IwyCPQYZY,k-pop,10분만 걸으면 (With 리치) (inst.),크리스,0.519,0.859,"[0.519, 0.859]",0.3712640569729313
5Y7AYvB660UruGRr5XGwW8,k-pop,God Is My Best Friend,Steve Lamount Harrold,0.321,0.25,"[0.321, 0.25]",0.31872872478018044
6OXGOPTkliS1sSENocT5l4,k-pop,I Wanna Clap I Wanna Dance,Doz,0.539,0.965,"[0.539, 0.965]",0.47703773435651814
5yCyebgsWSJD0nvMRPAlYg,k-pop,모래시계 (Guitar ver.) (MR),Park Hyun-Bin,0.173,0.653,"[0.173, 0.653]",0.3960113634733226
5TEpJqAXwfCWBx7vw8mxg1,k-pop,Love Me,Yiruma,0.246,0.282,"[0.246, 0.282]",0.353277511313698
0fIxIM4hKRzPLmKD9nVwxB,k-pop,The Boys *Bring Dem Boys* - テディライリーリミックス,Girls' Generation,0.613,0.718,"[0.613, 0.718]",0.24351591323771837
5ho7Qp4IDMane2OugQYeWN,k-pop,Star,Jay Park,0.118,0.612,"[0.118, 0.612]",0.4331293109453573
61Xu04ijZgZS7Np84nHZhq,k-pop,Brother And Sister,G.NA,0.882,0.871,"[0.882, 0.871]",0.5181602068858626
2mTN4GY5Q4XA415KneAK8v,k-pop,Hate You,2NE1,0.743,0.844,"[0.743, 0.844]",0.41332311815334016
7zIVF097Fpj7cAPAKr2OZV,k-pop,Don't Cry (Feat. 라이노),V.A,0.784,0.789,"[0.784, 0.789]",0.39192091038881816
6XXuR2UHRCDQNyB4Ny5rUK,k-pop,Romance is All Around,V.A,0.768,0.497,"[0.768, 0.497]",0.23517227727774376
3evUIDZtyOy4ZDUGAGsIs8,k-pop,샤방샤방 (MR),Park Hyun-Bin,0.84,0.919,"[0.84, 0.919]",0.5291597112403778
6LjKqwHginYs8KBpcyk7Q4,k-pop,Call Me,루미다(Rumeda),0.38,0.889,"[0.38, 0.889]",0.42919692449969865
5rsLV4FO0E9Tpbj9t8F9Sa,k-pop,끝나지 않은 노래 (Epilogue ver.),V.A,0.342,0.718,"[0.342, 0.718]",0.2989665533132427
